"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\laragon\www\icei\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\laragon\www\icei\README.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 0, 21, 63
"c:\laragon\www\icei\app\Actions\Fortify\CreateNewUser.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 6, 6, 37
"c:\laragon\www\icei\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\icei\app\Actions\Fortify\ResetUserPassword.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 7, 6, 31
"c:\laragon\www\icei\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 7, 6, 36
"c:\laragon\www\icei\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 14, 8, 60
"c:\laragon\www\icei\app\Actions\Jetstream\DeleteUser.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\laragon\www\icei\app\Console\Kernel.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\laragon\www\icei\app\Exceptions\Handler.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 17, 6, 41
"c:\laragon\www\icei\app\Http\Controllers\AnterioresEstudiantesController.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\laragon\www\icei\app\Http\Controllers\CalendarioPlanificacionController.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\laragon\www\icei\app\Http\Controllers\CarreraController.php", "PHP", 0, 101, 0, 0, 0, 0, 0, 0, 30, 22, 153
"c:\laragon\www\icei\app\Http\Controllers\CertificadoController.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 0, 8, 14, 119
"c:\laragon\www\icei\app\Http\Controllers\CertificadoFinalController.php", "PHP", 0, 310, 0, 0, 0, 0, 0, 0, 0, 42, 352
"c:\laragon\www\icei\app\Http\Controllers\CertificadoTalleresController.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 11, 79
"c:\laragon\www\icei\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\icei\app\Http\Controllers\DashboardController.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 0, 0, 12, 99
"c:\laragon\www\icei\app\Http\Controllers\EstudianteController.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 3, 7, 95
"c:\laragon\www\icei\app\Http\Controllers\EstudianteLoginApiController.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 12, 79
"c:\laragon\www\icei\app\Http\Controllers\InicioController.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\laragon\www\icei\app\Http\Controllers\InscripcionController.php", "PHP", 0, 410, 0, 0, 0, 0, 0, 0, 4, 38, 452
"c:\laragon\www\icei\app\Http\Controllers\InscripcionTalleresController.php", "PHP", 0, 195, 0, 0, 0, 0, 0, 0, 24, 33, 252
"c:\laragon\www\icei\app\Http\Controllers\KardexEstudianteController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\laragon\www\icei\app\Http\Controllers\ModuloController.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 24, 17, 126
"c:\laragon\www\icei\app\Http\Controllers\NotasController.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"c:\laragon\www\icei\app\Http\Controllers\PagosController.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\laragon\www\icei\app\Http\Controllers\PerfilDocenteController.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 19, 11, 91
"c:\laragon\www\icei\app\Http\Controllers\PlanificacionCarreraController.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 31, 13, 117
"c:\laragon\www\icei\app\Http\Controllers\PlanificacionModuloController.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 21, 10, 86
"c:\laragon\www\icei\app\Http\Controllers\PlanificacionTallerController.php", "PHP", 0, 94, 0, 0, 0, 0, 0, 0, 30, 12, 136
"c:\laragon\www\icei\app\Http\Controllers\RegistroEconomicoController.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\laragon\www\icei\app\Http\Controllers\RoleController.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 43, 16, 109
"c:\laragon\www\icei\app\Http\Controllers\ServiciosVariosController.php", "PHP", 0, 158, 0, 0, 0, 0, 0, 0, 24, 29, 211
"c:\laragon\www\icei\app\Http\Kernel.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 20, 7, 67
"c:\laragon\www\icei\app\Http\Livewire\AnterioresEstudiantesComponent.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\laragon\www\icei\app\Http\Livewire\AulasComponent.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 0, 17, 110
"c:\laragon\www\icei\app\Http\Livewire\BuscadorEstudianteComponent.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 15, 76
"c:\laragon\www\icei\app\Http\Livewire\CarreraComponent.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 17, 15, 97
"c:\laragon\www\icei\app\Http\Livewire\CarritoPagoGeneralComponent.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 10, 75
"c:\laragon\www\icei\app\Http\Livewire\CarritoPagosComponent.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 14, 99
"c:\laragon\www\icei\app\Http\Livewire\CategoriaComponent.php", "PHP", 0, 107, 0, 0, 0, 0, 0, 0, 0, 20, 127
"c:\laragon\www\icei\app\Http\Livewire\CategoriaServicioComponent.php", "PHP", 0, 108, 0, 0, 0, 0, 0, 0, 0, 19, 127
"c:\laragon\www\icei\app\Http\Livewire\CertificadosEntregadosComponent.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\laragon\www\icei\app\Http\Livewire\CertificadosPorCarreraEntregadosComponent.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\laragon\www\icei\app\Http\Livewire\CertificadosTallerEntregadosComponent.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\laragon\www\icei\app\Http\Livewire\ConfiguracionComponent.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\laragon\www\icei\app\Http\Livewire\DocenteComponent.php", "PHP", 0, 182, 0, 0, 0, 0, 0, 0, 0, 24, 206
"c:\laragon\www\icei\app\Http\Livewire\EstudianteComponent.php", "PHP", 0, 277, 0, 0, 0, 0, 0, 0, 0, 32, 309
"c:\laragon\www\icei\app\Http\Livewire\FiltroDocentePlanificacionComponent.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 11, 69
